2024-12-23 22:11:36,780 INFO    Thread-7 (_run_job):4064 [wandb_setup.py:_flush():68] Current SDK version is 0.19.1
2024-12-23 22:11:36,781 INFO    Thread-7 (_run_job):4064 [wandb_setup.py:_flush():68] Configure stats pid to 4064
2024-12-23 22:11:36,781 INFO    Thread-7 (_run_job):4064 [wandb_setup.py:_flush():68] Loading settings from /Users/s3nik/.config/wandb/settings
2024-12-23 22:11:36,781 INFO    Thread-7 (_run_job):4064 [wandb_setup.py:_flush():68] Loading settings from /Users/s3nik/Desktop/nlp-project-3/midi_caption_project/wandb/settings
2024-12-23 22:11:36,781 INFO    Thread-7 (_run_job):4064 [wandb_setup.py:_flush():68] Loading settings from environment variables
2024-12-23 22:11:36,781 INFO    Thread-7 (_run_job):4064 [wandb_init.py:_log_setup():528] Logging user logs to /Users/s3nik/Desktop/nlp-project-3/midi_caption_project/wandb/run-20241223_221136-e5rvmf57/logs/debug.log
2024-12-23 22:11:36,781 INFO    Thread-7 (_run_job):4064 [wandb_init.py:_log_setup():529] Logging internal logs to /Users/s3nik/Desktop/nlp-project-3/midi_caption_project/wandb/run-20241223_221136-e5rvmf57/logs/debug-internal.log
2024-12-23 22:11:36,781 INFO    Thread-7 (_run_job):4064 [wandb_init.py:init():644] calling init triggers
2024-12-23 22:11:36,781 INFO    Thread-7 (_run_job):4064 [wandb_init.py:init():650] wandb.init called with sweep_config: {'batch_size': 16, 'learning_rate': 5.145897156078484e-05, 'lora_alpha': 8, 'lora_dropout': 0.2, 'lora_r': 8, 'max_samples': 1000, 'num_epochs': 5}
config: {}
2024-12-23 22:11:36,781 INFO    Thread-7 (_run_job):4064 [wandb_init.py:init():680] starting backend
2024-12-23 22:11:36,781 INFO    Thread-7 (_run_job):4064 [wandb_init.py:init():684] sending inform_init request
2024-12-23 22:11:36,786 INFO    Thread-7 (_run_job):4064 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2024-12-23 22:11:36,786 INFO    Thread-7 (_run_job):4064 [wandb_init.py:init():697] backend started and connected
2024-12-23 22:11:36,788 INFO    Thread-7 (_run_job):4064 [wandb_run.py:_config_callback():1279] config_cb None None {'batch_size': 16, 'learning_rate': 5.145897156078484e-05, 'lora_alpha': 8, 'lora_dropout': 0.2, 'lora_r': 8, 'max_samples': 1000, 'num_epochs': 5}
2024-12-23 22:11:36,792 INFO    Thread-7 (_run_job):4064 [wandb_init.py:init():790] updated telemetry
2024-12-23 22:11:36,794 INFO    Thread-7 (_run_job):4064 [wandb_init.py:init():822] communicating run to backend with 90.0 second timeout
2024-12-23 22:11:37,022 INFO    Thread-7 (_run_job):4064 [wandb_init.py:init():874] starting run threads in backend
2024-12-23 22:11:37,089 INFO    Thread-7 (_run_job):4064 [wandb_run.py:_console_start():2374] atexit reg
2024-12-23 22:11:37,089 INFO    Thread-7 (_run_job):4064 [wandb_run.py:_redirect():2224] redirect: wrap_raw
2024-12-23 22:11:37,089 INFO    Thread-7 (_run_job):4064 [wandb_run.py:_redirect():2289] Wrapping output streams.
2024-12-23 22:11:37,089 INFO    Thread-7 (_run_job):4064 [wandb_run.py:_redirect():2314] Redirects installed.
2024-12-23 22:11:37,090 INFO    Thread-7 (_run_job):4064 [wandb_init.py:init():916] run started, returning control to user process
2024-12-23 22:11:46,585 INFO    Thread-7 (_run_job):4064 [wandb_run.py:_finish():2100] finishing run mx-zou-cooper-union-for-advancement-of-science-and-arts/midi-caption/e5rvmf57
2024-12-23 22:11:46,585 INFO    Thread-7 (_run_job):4064 [wandb_run.py:_atexit_cleanup():2339] got exitcode: 1
2024-12-23 22:11:46,585 INFO    Thread-7 (_run_job):4064 [wandb_run.py:_restore():2321] restore
2024-12-23 22:11:46,585 INFO    Thread-7 (_run_job):4064 [wandb_run.py:_restore():2327] restore done
2024-12-23 22:11:48,136 INFO    Thread-7 (_run_job):4064 [wandb_run.py:_footer_history_summary_info():3892] rendering history
2024-12-23 22:11:48,137 INFO    Thread-7 (_run_job):4064 [wandb_run.py:_footer_history_summary_info():3924] rendering summary
2024-12-23 22:11:48,146 INFO    Thread-7 (_run_job):4064 [wandb_run.py:_footer_sync_info():3853] logging synced files
